rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
70	1280	924	0.188	21.25	0.019	350.9468	519.8555	web:63%	 up  well  them  available  it  used
71	232	920	0.187	21.437	0.135	315.1426	484.7559	math:56%	 of  the  and  or  any  by
72	1123	893	0.182	21.619	0.142	335.022	555.9932	web:43%	 his  its 's  their  my  our
73	481	887	0.18	21.799	1.0	270.1772	520.6713	web:48%	,
74	688	880	0.179	21.978	0.078	262.98	445.6367	wiki:82%	 Roman ian  Soviet  American  Revolutionary  Western
75	1654	875	0.178	22.156	0.017	287.3892	460.2319	web:43%	 absolute  root  results  power  language  cases
76	1101	873	0.178	22.334	0.018	331.7154	584.0137	web:59%	 live  work  focus  starting  used  up
77	1065	872	0.177	22.511	0.018	272.0938	441.146	wiki:44%	 State  Civil  Carnegie  Atlantic  Gulf  World
78	205	859	0.175	22.686	0.145	381.0312	576.5815	pile:50%	 if  that If  when  so  where
79	1990	856	0.174	22.86	0.253	353.0088	559.7105	pile:94%	 of  and  with  to  on  for
80	1727	855	0.174	23.034	0.017	264.2568	478.7285	wiki:44%	 so  use  it  unknown  used  time
81	1333	850	0.173	23.207	0.055	315.6485	527.8975	math:85%	 complex  finite ic  regular  real  convex
82	1891	850	0.173	23.379	0.901	298.4775	521.3271	web:39%	 a  A a
83	19	848	0.172	23.552	0.617	337.7124	557.3477	pile:46%	 the  The  their The  Our  its
84	235	844	0.172	23.724	0.046	219.7954	395.5835	wiki:86%	 States  Turkey  Europe  War  America  Egypt
85	1701	838	0.17	23.894	0.128	253.4365	384.3379	code:89%	.core .utils .contrib .lib  twisted _framework
86	1543	836	0.17	24.064	0.056	286.8159	500.8726	code:81%	.dirname .getLogger .abspath  len .insert txt
87	1965	831	0.169	24.233	0.046	268.3276	532.0684	web:38%	 example  contrast  cases ically  decades  fact
88	1009	829	0.169	24.402	0.529	282.8867	469.8535	wiki:82%	 is  was  are  also  be  were
89	1508	829	0.169	24.57	0.112	379.3575	682.7846	web:48%	 and  is  something  not  or  it
90	362	825	0.168	24.738	0.016	356.6783	590.5185	web:42%	 Bank  Atomic Argument Computer  Social  Computer
91	1278	821	0.167	24.905	0.179	283.5361	527.1099	web:53%	 of  for  to  with  from  on
92	1799	818	0.166	25.072	0.124	283.9668	486.1489	web:36%	 of  to  for  on  use  with
93	615	817	0.166	25.238	0.309	327.9307	609.8198	web:32%	 is 's  are  be ’s  not
94	1658	814	0.166	25.403	0.026	393.9614	628.8052	math:44%	 programming  text  neural  data  machine  user
95	1664	811	0.165	25.568	0.304	321.876	559.793	web:54%	 is  was  be 's ’s  are
96	1050	803	0.163	25.732	1.0	287.247	502.7754	wiki:50%	,
97	256	796	0.162	25.894	0.335	285.4316	514.7061	math:89%	 of  for  and  to  on  with
98	1589	787	0.16	26.054	0.013	281.2813	514.9106	wiki:43%	 astronomy  science  design  production  technology  warfare
99	1884	779	0.158	26.212	0.282	298.9502	518.0142	wiki:72%	 of  by  to  for  with  from
100	500	777	0.158	26.37	0.01	367.8682	580.8892	math:45%	 description  feature  information  answer  letters  package
101	796	776	0.158	26.528	0.116	286.0362	462.5869	code:98%	 len  open .assertEqual .getLogger .join format
102	685	774	0.157	26.686	0.052	370.7563	604.7866	code:43%	 given  new  this  same  some  different
103	1103	763	0.155	26.841	0.022	275.7646	426.8711	math:67%	 Code ework  Google  Statistical  Physics ERT
104	1821	763	0.155	26.996	0.055	246.4702	423.335	wiki:72%	 derived  used  based  developed  associated  introduced
105	542	757	0.154	27.15	0.009	300.1591	490.1992	math:48%	 book  theory  users  class  limitations  way
106	161	750	0.153	27.303	0.019	341.5137	563.4111	web:41%	 technology  system  process  physics  definition  design
107	164	750	0.153	27.455	0.034	345.8818	570.8399	wiki:55%	 political  television  foreign  historical  scientific  military
108	664	750	0.153	27.608	0.028	391.2217	616.4291	math:40%	 list  type  file  name  instance  string
109	383	749	0.152	27.76	0.023	282.0923	581.7256	wiki:44%	 systems  languages  acids  types ors  species
110	189	744	0.151	27.911	0.085	313.0205	491.5025	code:71%	 configuration  the  If  this  build  shown
111	1248	744	0.151	28.063	0.541	235.498	478.3535	wiki:72%	 of  from  during  and  to  with
112	560	743	0.151	28.214	0.031	254.9917	460.7959	code:60%	 sph ke ver empl .min .aut
113	1946	740	0.151	28.364	0.316	295.4804	505.312	wiki:74%	 the  The The
114	118	725	0.147	28.512	0.047	335.834	530.3871	web:42%	 and  of  commented  the  your  or
115	376	722	0.147	28.659	0.38	307.5986	521.2294	web:40%	 a ,  first  the  and  your
116	958	719	0.146	28.805	0.012	278.2627	596.0317	web:36%	 examples  properties  statistics  majority  origins  applications
117	1332	718	0.146	28.951	0.943	341.1602	564.1318	web:49%	 a a A
118	1746	707	0.144	29.095	0.029	381.0078	577.1294	pile:84%	 primary  dorsal  inner al  lateral  benign
119	76	705	0.143	29.238	0.074	391.2388	622.0898	math:48%	 some  any  this  other  following  new
120	955	704	0.143	29.381	0.06	272.6934	438.2285	code:72%	sys  os  sys  self py (sys
121	405	703	0.143	29.524	0.04	350.5191	646.7017	pile:57%	 different  other  important  present  same  specific
122	1498	695	0.141	29.666	0.014	319.1718	508.1773	math:49%	 changes  data  results  time  page  widget
123	651	681	0.139	29.804	0.093	363.7734	529.8188	math:51%	 but  so  that  if  However  think
124	1191	679	0.138	29.942	0.029	288.7104	432.6104	code:77%	.add  get  include .check needs .set
125	512	673	0.137	30.079	0.024	254.2056	461.7573	math:73%	 numbers  theory  closed  operation  object  values
126	107	665	0.135	30.215	0.02	351.7989	605.9614	math:63%	 mass  aspect  sound  position  pressure  occurrence
127	1360	660	0.134	30.349	0.505	312.7373	548.606	math:73%	 is  be  are  also  not  often
128	1519	656	0.133	30.482	0.018	336.6137	519.7676	wiki:40%	oust emit  altru  anim  consequ ell
129	132	655	0.133	30.616	0.248	274.7456	469.4746	math:90%	 that  if  where  and  If If
130	157	652	0.133	30.748	0.027	262.5528	467.8613	code:100%	_values  data _files _root  response _id
131	1955	651	0.132	30.881	0.277	325.7227	599.2641	wiki:34%	 be  been  were  was  is  are
132	1983	642	0.131	31.011	0.549	278.0767	548.314	pile:90%	 the  The The  its  Their  whose
133	1761	640	0.13	31.141	0.344	285.9619	472.2676	web:36%	 to  may  can  will  also  not
134	1647	639	0.13	31.271	0.92	282.8032	522.6396	wiki:58%	 a a  A
135	423	636	0.129	31.401	0.558	332.8042	509.9956	web:36%	 of  and  for  on  to  Of
136	472	635	0.129	31.53	0.008	326.8535	563.9501	wiki:34%	 anxiety ides  mixture  neurons  proteins ills
137	266	634	0.129	31.659	0.013	330.4351	567.4185	wiki:62%	 military  film  state  design  city  business
138	1985	633	0.129	31.788	0.143	374.4746	599.0142	web:45%	 any  each  another  every  no  first
139	1558	632	0.129	31.916	0.262	262.6845	524.3921	wiki:30%	 may  can  will  to  could  also
140	101	630	0.128	32.044	0.02	317.8301	500.6509	math:95%	 dimension able  condition  theorem  compact  function
141	907	628	0.128	32.172	0.233	287.3569	564.8466	web:39%	 that  it  which  It  also  article
142	899	624	0.127	32.299	0.922	350.249	596.7422	math:41%	, /, ), #, >>>
143	1865	624	0.127	32.426	0.043	292.0141	480.0405	math:52%	 it  wrong  me  way  here  problem
144	298	623	0.127	32.553	0.866	290.4048	447.1743	wiki:76%	 in  In  within  throughout
145	1845	623	0.127	32.679	0.425	303.2842	502.0683	wiki:78%	 is  are  was  been  were  also
146	736	622	0.127	32.806	0.123	365.3242	586.0327	math:71%	 two  some  other  of  any  one
147	916	622	0.127	32.932	0.219	226.3681	530.6573	wiki:47%	 about  than  of  over  around  to
148	1517	622	0.127	33.059	0.031	322.5078	524.1308	wiki:41%	 Ant Ang  Bav  All ipel  Ang
149	574	618	0.126	33.185	0.849	321.7534	582.5562	web:38%	 in  In In
150	1831	614	0.125	33.31	0.741	319.938	522.3013	wiki:68%	 in  In In
151	482	613	0.125	33.434	0.024	368.147	635.3003	code:42%	 command  source  text  context  model  line
152	1735	610	0.124	33.558	0.919	281.1348	549.7642	code:34%	 a A
153	1372	609	0.124	33.682	0.174	303.918	544.9629	wiki:86%	 as  was  also  is  and  became
154	1389	608	0.124	33.806	0.23	295.6533	541.7036	pile:96%	 of  to  and  with  for loses
155	580	604	0.123	33.929	0.051	227.8867	411.9199	wiki:81%	 son  member  father  founder  president  daughter
156	115	602	0.122	34.051	0.024	230.7241	396.8535	wiki:81%	 century ism  world  philosophy  history  time
157	1578	600	0.122	34.173	0.641	298.2168	513.9478	web:56%	 is  are  be  also  was  sometimes
158	597	592	0.12	34.294	0.238	392.981	605.9033	web:47%	 by  of  and  for  while  to
159	1149	592	0.12	34.414	0.034	199.3018	336.377	code:99%	 settings  OrderedDict  timedelta  deepcopy Parser  BeautifulSoup
160	531	585	0.119	34.533	0.097	349.5596	556.5541	web:68%	 provide  for  provides  providing  with  give
161	1866	584	0.119	34.652	0.053	293.5029	521.0137	math:82%	 defined  given  used  based  measured  expressed
162	1091	583	0.119	34.771	0.024	401.6328	581.3687	pile:90%	 cell al  immune  bone  liver ic
163	276	577	0.117	34.888	0.013	394.5938	618.7925	web:63%	 Female  Pass atement  News  Science  iPhone
164	1077	577	0.117	35.005	0.667	355.1689	598.1509	web:33%	 in  into  within  during  of  In
165	1001	576	0.117	35.122	0.789	313.626	538.916	pile:32%	 an  An An an
166	1972	571	0.116	35.239	1.0	235.5244	396.209	code:100%	 =
167	392	569	0.116	35.354	0.023	334.1724	551.3862	pile:86%	 variation ry  subjects  effects  methods  enzymes
168	1611	569	0.116	35.47	0.021	320.9893	538.0503	math:58%	 properties  nucleus  theory  atom  atoms  techniques
169	44	568	0.116	35.586	0.186	324.4599	594.8882	wiki:70%	 many  other  some  two  several  three
170	1330	564	0.115	35.7	1.0	288.269	539.5528	wiki:56%	,
171	1140	563	0.115	35.815	0.217	309.1259	577.438	pile:40%	 of  on  for  from  with  to
172	244	562	0.114	35.929	0.022	282.0908	499.565	web:77%	 it  too  here  me  out  now
173	377	562	0.114	36.043	0.131	300.8423	555.7114	math:85%	 some  all  any  each  two  of
174	1212	560	0.114	36.157	0.017	310.6558	589.1846	wiki:61%	 population  city  appearance -chief  term  governor
175	720	558	0.114	36.271	0.041	390.9858	623.7842	pile:91%	 these  significant  different  present  specific  other
176	1665	557	0.113	36.384	0.327	262.9878	523.2104	wiki:34%	 as  As As as
177	225	555	0.113	36.497	0.055	296.2646	541.6626	math:88%	 number  value  sum  probability  point  points
178	969	555	0.113	36.61	0.03	301.0986	515.8501	code:63%	.dirname .getLogger .insert  url  defined setup
179	1129	555	0.113	36.723	0.898	320.2954	529.2656	math:71%	 a A a
180	557	554	0.113	36.836	0.016	264.4111	427.5244	code:64%	per  Interactive .set Marker Config ed
181	1696	553	0.112	36.948	0.375	373.5889	591.8662	code:40%	 is  be  are  was 's  being
182	1863	553	0.112	37.061	0.208	311.9932	547.9204	wiki:50%	 that  where  which  although  because  and
183	1804	551	0.112	37.173	0.034	278.5767	503.8628	code:86%	 object  arguments  functions  file  files  directory
184	1239	550	0.112	37.285	0.578	273.7012	456.9663	math:86%	 the  The The  its  their  whose
185	1228	547	0.111	37.396	0.045	242.5449	503.7607	code:93%	 get _to  primary  os .add _for
186	1671	547	0.111	37.507	0.399	277.6978	485.6763	wiki:95%	 the  The The the 's Its
187	842	545	0.111	37.618	0.315	328.7661	603.8574	web:34%	 that  which  it  It  who  invention
188	1437	545	0.111	37.729	0.914	282.1152	443.877	code:100%	 =  ==  else  or
189	587	543	0.11	37.839	0.022	274.5786	541.2783	code:69%	(Base Invalid Folder ared  bottom  Repo
190	637	543	0.11	37.95	0.046	344.1054	499.3813	math:92%	 set  group  sequence  spaces  map  measure
191	1308	543	0.11	38.06	0.03	388.4697	626.9453	web:53%	 cell  rear  role  shell  word  solder
192	1111	541	0.11	38.17	0.565	338.4175	577.1133	web:48%	 this  that This ’s 's  same
193	817	539	0.11	38.28	0.053	335.1885	527.4443	pile:79%	 file  code  method  values  files  record
194	1641	539	0.11	38.389	0.401	306.7041	607.2163	web:34%	 most  more  very  and  relatively  less
195	1700	538	0.109	38.499	0.19	356.9653	628.9004	pile:85%	 and  that  than  but  was  or
196	701	537	0.109	38.608	0.048	308.1695	571.6523	pile:94%	ent  composite  machining  display  forming izing
197	1677	535	0.109	38.717	0.017	336.894	537.0152	web:44%	 activities  tool  characteristics  things  benefits  rules
198	73	533	0.108	38.825	0.027	362.7451	579.7847	math:68%	 atom  urn  orbital  answer  goal  number
199	1742	532	0.108	38.934	0.032	303.9419	491.9873	web:41%	 directories  relative  serve  Note  set  information
200	407	530	0.108	39.041	0.181	283.2867	567.1304	wiki:93%	 or  meaning  from  and  called  for
201	123	527	0.107	39.149	0.057	393.4062	606.3394	wiki:72%	 ancient  former  main  founding  original  fictional
202	1783	527	0.107	39.256	0.111	245.71	445.2344	wiki:37%	 refer  due  refers  compared  opposed  related
203	1472	526	0.107	39.363	0.058	331.357	575.9712	wiki:56%	 American ic  English  European atic amic
204	495	523	0.106	39.469	0.478	375.6797	633.77	web:55%	 and  or  than  can  but  then
205	657	523	0.106	39.576	0.026	283.0869	444.7383	wiki:54%	ten  Ash ake  Rock  Sand  Cal
206	1668	522	0.106	39.682	0.112	299.3159	458.2803	pile:47%	.com .org .net boost orest .io
207	1720	521	0.106	39.788	0.62	314.2329	543.3417	math:87%	 is  are  be  also  itself is
208	1693	518	0.105	39.893	0.033	351.1187	538.6417	web:55%	 Health  Account  Medical  Research  Older  Behavioral
209	559	517	0.105	39.998	0.026	400.8521	617.789	pile:42%	 connect  trying  use  know  check  out
210	852	514	0.105	40.103	0.888	328.8223	567.1348	math:63%	, ),
211	1754	514	0.105	40.207	0.032	255.3672	485.5098	pile:63%	 my  cere  pem min  am  cy
212	1244	513	0.104	40.312	0.443	377.8008	547.0898	web:58%	 to  can  will  also  should ’s
213	653	511	0.104	40.416	0.156	229.4644	406.9106	wiki:61%	 Battle  Republic  Kingdom  Siege  Church  Council
214	953	511	0.104	40.52	0.06	305.8843	594.5269	web:45%	 lot  much  part  dozens  other  most
215	1144	511	0.104	40.624	0.199	355.6944	604.0859	web:56%	 are  be ’re  not  been 're
216	882	510	0.104	40.727	0.01	272.1084	545.1772	wiki:63%	 magnitude  disorder ary  analysis ine ion
217	1448	508	0.103	40.831	0.038	325.9307	488.3872	wiki:81%	 President  son  name  Emperor  general er
218	47	507	0.103	40.934	0.453	315.7217	582.6494	math:75%	 is  be  are  Is  as 's
219	194	507	0.103	41.037	0.162	270.3227	441.7251	math:92%	#### • ## : ###  -
220	763	507	0.103	41.14	0.022	305.2007	526.1357	wiki:69%	 forces  species  plants  figure  societies  groups
221	1210	507	0.103	41.243	0.276	308.1519	538.1459	math:64%	 of  and Is  to  for Does
222	1375	506	0.103	41.346	0.146	262.2237	432.6235	code:79%	 models (unittest  logging (models (db 2
223	903	504	0.103	41.449	0.34	291.0576	453.1465	code:99%	                                                           
224	1707	502	0.102	41.551	0.92	249.5205	479.0796	code:95%	 =  -> ':
225	876	498	0.101	41.652	0.092	307.2314	528.1064	wiki:75%	 It  it  which ism  name  anthropology
226	1135	498	0.101	41.753	0.685	273.5512	479.7544	pile:39%	 to  can  could Cannot  easily  I
227	1200	497	0.101	41.854	0.036	396.3062	583.1588	math:80%	 values  value  model  prediction  vector  coordinates
228	1230	497	0.101	41.956	0.301	300.125	466.4839	code:87%	 free  this  see  language  and  for
229	951	496	0.101	42.056	0.011	386.1865	664.8881	math:40%	 service  data  example  model  kernel  std
230	361	495	0.101	42.157	0.081	305.5718	522.3584	math:39%	 used  stored  created  provided  it  work
231	1566	492	0.1	42.257	0.631	252.8428	503.8203	web:69%	 to  can  will  should  you ’t
232	972	491	0.1	42.357	0.038	242.7568	447.1728	code:96%	_id _path  res  name _name logger
233	516	490	0.1	42.457	0.228	354.2173	620.4957	wiki:32%	 that  which  they  They ers  also
234	1181	489	0.099	42.556	0.224	369.209	580.979	web:41%	 is  are  have ’s  been  was
235	1766	485	0.099	42.655	0.081	309.7314	517.7671	pile:99%	 method  apparatus  system  tissue  components  member
236	147	483	0.098	42.753	0.018	290.2485	470.396	pile:69%	 conditions  tasks  disorders  muscles  function  body
237	1793	481	0.098	42.851	0.021	358.6694	562.0126	math:89%	 polynomial  derivative  integral  equivalence ness  domain
238	350	480	0.098	42.949	0.029	408.7568	594.4947	code:68%	 database  list  session  config  client  user
239	666	479	0.097	43.046	0.029	321.5766	513.1319	math:92%	 true  exist  matter  it  theorem  way
240	766	477	0.097	43.143	0.03	274.0737	457.7676	pile:98%	 treatment  disorders  receptors  outcomes  systems  patients
241	1088	472	0.096	43.239	0.036	273.0083	442.5615	math:90%	3 ¶  PM  Question ATH Comment
242	404	471	0.096	43.335	0.03	313.9199	489.3852	math:70%	 distribution  solutions  graphs  problem  group  properties
243	1650	471	0.096	43.431	0.29	379.0806	575.2407	web:60%	 is  are  was  be  were  been
244	427	469	0.095	43.526	0.126	307.043	472.4355	code:57%	 '  __ ="  {'  _ ::
245	464	468	0.095	43.621	0.415	358.3477	606.6548	pile:52%	 is  are  be  was  been  also
246	820	466	0.095	43.716	0.02	258.0527	426.0811	wiki:53%	 Charles  Christopher  George  Sarah ria  Julius
247	1608	466	0.095	43.811	0.475	241.3779	469.6914	web:43%	 it  It It “It it "It
248	1362	465	0.095	43.905	0.06	320.3072	514.3286	pile:48%	 used  associated  occurs  produced  classified  followed
249	360	463	0.094	44.0	0.286	159.9189	260.313	code:97%	 General  GNU  Affero  Lesser GNU
250	1061	462	0.094	44.094	0.475	304.997	580.1778	web:34%	 has  have  had  having  Having have
251	1802	461	0.094	44.187	0.955	230.8486	433.7505	code:100%	 import    
252	411	458	0.093	44.281	0.014	324.166	570.8354	wiki:40%	 assist  mathematic  far  period  station  patron
253	788	458	0.093	44.374	0.01	366.2549	609.2794	web:40%	 tips atement  information  here s  people
254	1086	458	0.093	44.467	0.058	334.3711	539.0254	code:63%	.w .v  z  fr .t .n
255	1541	455	0.093	44.559	0.109	372.8233	534.522	wiki:81%	 Soviet  British  Roman  French ian  English
256	439	454	0.092	44.652	0.047	349.4033	551.54	pile:95%	 patients  levels  cells  expression  activity apse
257	897	454	0.092	44.744	0.02	392.1621	615.8179	math:36%	 App  Test lime  Data a  Visual
258	170	453	0.092	44.836	0.33	300.0	488.5185	web:51%	 if  If  when If  When When
259	593	451	0.092	44.928	1.0	324.2749	533.6085	wiki:67%	,
260	896	450	0.092	45.02	0.52	296.8428	523.5157	code:98%	 self (self self 2  args =args
261	1252	450	0.092	45.111	1.0	310.7071	448.0445	wiki:91%	.
262	1214	449	0.091	45.202	0.043	301.2476	541.7441	math:85%	 equal  solve  terms  divisible  respect  similar
263	1288	447	0.091	45.293	0.049	316.7696	559.6958	math:57%	 know  wondering  sure  way  idea  me
264	240	446	0.091	45.384	0.454	238.581	374.2783	code:97%	 License  Foundation , # ;  
265	513	446	0.091	45.475	0.175	311.1474	499.0664	code:73%	 All  part  rights  software  see  This
266	572	446	0.091	45.566	0.431	313.0708	517.2993	code:96%	 in  return  with  not  if  elif
267	1160	443	0.09	45.656	0.195	332.2295	520.7979	math:89%	 and  of  by  like  Let  to
268	599	442	0.09	45.746	0.955	341.1997	524.2769	math:83%	 a  A
269	1711	442	0.09	45.835	0.478	162.9521	314.1621	code:100%	(self self =None =False (cls =True
270	1768	442	0.09	45.925	0.017	332.4648	538.2187	math:75%	 Notes  Abstract  Introduction  Topic  more  Score
271	1806	441	0.09	46.015	0.005	303.9531	465.9931	wiki:58%	 days  art  atom  times  angles  south
272	1857	440	0.09	46.105	0.932	338.836	530.7343	wiki:58%	 a —a  A a
273	29	439	0.089	46.194	0.038	336.4805	513.3794	pile:41%	 them  it  work  used  fine  available
274	606	439	0.089	46.283	0.054	305.9698	493.6055	pile:45%	-type  id  type _height _width  name
275	905	437	0.089	46.372	0.273	207.8682	345.8803	code:95%	 that  redistribute  hope  modify  along  provided
276	846	435	0.088	46.461	0.66	191.3164	323.7012	code:94%	 the #   the  * ##
277	1035	435	0.088	46.549	0.012	244.7036	420.8579	wiki:70%	 York  University shire  London  Berlin  City
278	1661	434	0.088	46.637	0.016	340.9751	622.5278	wiki:46%	igua co  Apple  Samsung orra  Athens
279	1624	433	0.088	46.725	0.072	251.6553	360.6514	code:99%	.db .conf .utils  sqlalchemy .testing .models
280	1337	432	0.088	46.813	0.022	293.6943	464.1587	wiki:71%	 death  begins  role  him  power  here
281	721	431	0.088	46.901	1.0	314.955	454.9141	wiki:91%	.
282	1544	426	0.087	46.988	0.46	306.2065	531.6802	math:37%	 what  What What what  exactly  where
283	186	424	0.086	47.074	0.03	388.7148	609.0087	wiki:32%	 ab  equ  alloc  ar  agr  all
284	999	424	0.086	47.16	0.01	380.3652	599.1626	web:45%	 Analysis ations  Only ies  Role  Time
